title,year,kdrama_id,director,screenwriter,tot_eps,duration,start_dt,end_dt,aired_on,org_net,content_rt,synopsis,rank,pop,music_score,story_score,acting_cast_score,rewatch_value_score,overall_score,n_helpful
The Miracle,2016.0,c8c3e4473dcf48d4866b73c078a7b949,Others,Others,12.0,900.0,12/12/2016,12/23/2016,Others,Naver TV Cast,15+ - Teens 15 or older,"How could twin sisters be such polar opposites? Kwon Shi Ah is the beautiful sister, gorgeous in every way and a member of the popular girl group known as Miracle Girls. Since she was in preschool, Shia has worked as a model and then a teen actress before becoming an idol. Her fraternal twin sister, Shi Yeon, is almost double the body size of Shi Ah and has always been ridiculed and bullied in school for her large frame. Because of this, Shi Yeon has become a recluse, who prefers staying home and producing an Internet broadcast within the safety of her room. The only time Shi Yeon ventures out is to visit a mysterious tarot card reader who gives Shi Yeon a magical tarot card every day. But the twin sisters’ lives are turned upside down when they wake up one day and realize that their souls have switched bodies! What will an idol musician and Shi Yeon’s high school crush think of the women they thought they knew?(Source: Viki)",7958.0,1051.0,7.8,7.4,7.8,5.6,7.6,4.0
Love Is Drop by Drop,2016.0,520d9a93fd804cecab7c638daf174b3a,['Kim Jung Min'],['Kim Young In'],120.0,2100.0,11/28/2016,6/2/2017,"Monday, Tuesday, Wednesday, Thursday, Friday",SBS,15+ - Teens 15 or older,Eun Bang Wool falls in love with the man who received a heart transplant from her ex-boyfriend. She faces secrets around her. ,6139.0,6834.0,3.0,4.5,5.0,2.0,4.5,0.0
The Master of Revenge,2016.0,8eeb23b36def47cc9bdac01c34e558c7,['Im Se Joon'],['Chae Seung Dae'],20.0,3780.0,4/27/2016,6/30/2016,"Wednesday, Thursday",KBS2,15+ - Teens 15 or older,"A man whose name and life were taken from him seeks revenge. To do so, he must attempt to become a master noodle cook, or a god of noodles.~~ Adapted from the manhwa “God of Noodles” by Park In Kwon. ",5687.0,3966.0,7.0,7.2,8.8,2.7,7.3,4.0
The Unusual Family,2016.0,6db90159ddd342cbb72efca91fadbca6,['Lee Duk Gun'],['Son Ji Hye'],149.0,2100.0,5/2/2016,11/25/2016,"Monday, Tuesday, Wednesday, Thursday, Friday",KBS1,Not Yet Rated,"The Unusual Family' is about two country girls with different dreams. There is a girl from the countryside, named Dan Yi. She wants to support rural communities. And, there's Sam Wol who is happy to leave her hometown and has a dream of becoming one like Cinderella. With two different dreams, they both move over to Seoul. How would their life change in the near future? ",58885.0,9305.0,1.0,3.5,4.0,1.0,3.5,0.0
The Sound of Your Heart,2016.0,504271bc35744ee899e28560fc441987,['Ha Byung Hoon'],['Kwon Hye Joo'],20.0,900.0,11/7/2016,11/28/2016,"Monday, Thursday",Naver TV Cast,15+ - Teens 15 or older,"""The Sound of Your Heart"" comically follows Jo Suk's ridiculous but hilarious adventures with his girlfriend-turned-wife Ae Bong, their dogs, older brother Jo Joon, and parents. ~~ Adapted from the webtoon ""The Sound of Heart"" (마음의소리) by Jo Suk (조석).~~ Two versions available: 20 episodes (web version / 2 parts per episode) || 5 episodes (TV version / 4 parts per episode) ",915.0,751.0,8.2,9.1,9.6,8.8,9.2,5.0
"Bring It On, Ghost",2016.0,b9e467252703479aa6141d9c79b3be46,['Park Joon Hwa'],['Lee Dae II'],16.0,3600.0,7/11/2016,8/30/2016,"Monday, Tuesday",tvN,15+ - Teens 15 or older,"A cohabitation comedy about a ghost of a high school girl who has been dead for 5 years and an exorcist college boy with the ability to see and hear ghosts. What he’s discovered over the years is that he can touch them and fight them off, so when he’s in need of a part-time job and can’t find one that pays well enough, he starts putting ads online as an exorcist for hire. His ad: “Will face off with your ghosts. Chances of winning: virgin ghosts 80%, bachelor ghosts 40%, child ghosts 97%, the rest 50%.” One night he goes out on the job and faces off with a schoolgirl ghost, and during the fight, they accidentally kiss and sparks fly.~~ Adapted from the webtoon “Let's Fight, Ghost” (싸우자귀신아) by Iminsu (임인스).",1521.0,80.0,7.1,7.7,8.2,5.8,7.5,14.0
The Royal Gambler,2016.0,232ec98c164c477db63118eba1874969,['Nam Gun'],['Kwon Soon Gyu'],24.0,4500.0,3/28/2016,6/14/2016,"Monday, Tuesday",SBS,15+ - Teens 15 or older,"Baek Dae Gil and King Yeong Jo enter a match. Baek Dae Gil bets his life and King Yeong Jo bets the entire Kingdom of Joseon on the outcome. Baek Dae Gil is the best gambler in the Joseon era. He holds deep resentment inside but is also cool on the exterior. King Yeong Jo is a man who never lowers his head without a convincing reason. Meanwhile, Dam Seo exists solely to take revenge upon the king.",3459.0,1637.0,8.7,7.6,9.4,6.8,8.3,7.0
Ms. Temper & Nam Jung Gi,2016.0,8513adcd3d6848b796db14fe5a79d1a4,['Lee Hyung Min'],['Joo Hyun'],16.0,3900.0,3/18/2016,5/7/2016,"Friday, Saturday",jTBC,15+ - Teens 15 or older,"Although renowned as the youngest team supervisor in her company, Da Jung has been divorced three times already and is always surrounded by suspicion and disdain because of her bad temper. She is a strong and insensitive woman who doesn’t care that other people talk about her or that they call her ""Hot-tempered.” In contrast to the fiery Da Jung, Jung Gi is the timidest guy ever. Kind and inoffensive like a “Father Teresa,” he doesn’t say things other people may not like to hear and is seen as a pushover. After a dynamic series of twists and turns, Da Jung becomes Jung Gi’s new boss, and his rather peaceful life is about to face a tempestuous storm. “Hot-tempered"" Da Jung’s tyranny turns Jung Gi’s life upside down, but with more unexpected twists and turns, one timid man’s office survival story is about to shake things up as he takes on the world!(Source: JTBC)",4259.0,1866.0,7.9,8.8,9.0,7.5,9.0,9.0
Oh! Dear Half-Basement Goddesses,2017.0,bdca7ea52dbc4dd3ac21f6f8f75cd11b,Others,['Hwang Gook Young'],10.0,900.0,10/19/2017,11/16/2017,Thursday,On Style,Not Yet Rated,"“Oh! Dear Half-Basement Goddesses” will tell the story of four Greek goddesses who come to Korea to spread love and peace. However, they are faced with the reality of high rent and living costs in Seoul. Putting their grandiose dreams aside, they hide their true identities and live together in a half-basement apartment. ",51068.0,8806.0,2.0,7.0,9.0,3.5,9.0,1.0
School 2017,2017.0,4970af86fb30446b9214dff1189ceab4,"['Song Min Yeop', 'Park Jin Suk']",['Jung Chan Mi'],16.0,3600.0,7/17/2017,9/5/2017,"Monday, Tuesday",KBS2,15+ - Teens 15 or older,"The drama tells realistically of the many various troubles that high school students can face. Ra Eun Ho is just one of them, struggling to survive in a school that discriminates against rich and poor, and believes that the best students are the ones with the best grades. Eun Ho is a cheerful, upbeat 18-year-old girl whose dream is to be a webtoon artist. When she mistakenly gets caught up in another student's effort to send the school into turmoil, Ra Eun Ho is framed as the legendary Student X, a mysterious troublemaker whose identity is unknown, and suddenly, all of her aspirations are put at risk.Joining her is Hyun Tae Woon, the son of the school's director with a difficult personality and troubled past. In a motorbike accident, he lost his best friend and from there, his life changed. He is uptight, aloof and rude, but as he gets to know the polar opposite Ra Eun Ho, his view on the world changes. He falls in love with her, and together with their fellow students, they decide to stand up against their corrupt school system and make a change.(Source: AJ at MyDramaList)",1462.0,110.0,8.3,8.0,9.0,7.4,8.4,18.0
