title,year,kdrama_id,director,screenwriter,tot_eps,duration,start_dt,end_dt,aired_on,org_net,content_rt,synopsis,rank,pop,music_score,story_score,acting_cast_score,rewatch_value_score,overall_score,n_helpful
Eulachacha Waikiki Season 2,2019.0,b1d77407a3574f4abb3cbe3792e0db78,['Lee Chang Min'],['Kim Ki Ho'],16.0,4200.0,3/25/2019,5/14/2019,"Monday, Tuesday",jTBC Viki,15+ - Teens 15 or older,"Lee Joon Ki is an unpopular actor who runs the Waikiki guesthouse. However, business is bad, and the guesthouse is facing bankruptcy. In order to revive the guesthouse, Lee Joon Ki asks his friends Cha Woo Shik and Kook Ki Bong to invest their savings in it.Cha Woo Shik is a picky person who dreams of becoming a singer.  Kook Ki Bong used to be a promising baseball player but instead is now stuck playing in the minor leagues. After Lee Joon Ki's request, they all put their money into Waikiki Guesthouse and start living there together.(Source: MyDramaList)",1520.0,442.0,7.0,7.3,8.0,6.3,7.4,8.0
Everything and Nothing,2019.0,5b6396681eec44f2bea75ebf660e682c,['Jo Young Min'],['Ryu Bo Ri'],4.0,1800.0,8/5/2019,8/6/2019,"Monday, Tuesday",SBS,15+ - Teens 15 or older,"The story follows the pain and growth of 17-year-old Min Jae and Seo Yeon. Min Jae is an ordinary, male high school student. He doesn't talk much and he has a bit of a sensitive personality. Min Jae gets good grades and doesn't cause trouble.Seo Yeon attends the same high school as Min Jae. They also graduated from the same middle school. She is an ordinary, female high school student. Two years ago, her parents divorced. Since then, she has lived with her mother.(Source: AsianWiki)",4085.0,2089.0,7.9,8.9,9.4,7.7,8.8,3.0
"I Hate You, Juliet!",2019.0,f9cd595f8cdd49ecbb247199cce5e8d1,['Kim Jung Kwon'],Others,18.0,1080.0,2/14/2019,5/1/2019,Wednesday,Oksusu Viki,13+ - Teens 13 or older,"After an electric shock, a top celebrity is suddenly able to hear a script writer's thoughts. Knowing her true thoughts and feelings, he finds himself falling madly in love with her! But when he loses his ability to read her mind, would he still be able to win her heart?(Source: Viki) ",7035.0,2598.0,7.3,7.3,8.8,6.0,7.6,3.0
Hotel del Luna,2019.0,789d1bb521d74eab961005a28603a39b,['Oh Choong Hwan'],"['Hong Jung Eun', 'Hong Mi Ran']",16.0,4800.0,7/13/2019,9/1/2019,"Saturday, Sunday",tvN,15+ - Teens 15 or older,"Nestled deep in the heart of Seoul’s thriving downtown sits a curious hotel, the like of which no one has ever seen before. Old beyond measure, the building has stood for millennia, an ever-present testament to the fact that things are not always what they seem. Running this hotel is Jang Man Wol, a greedy, suspicious soul who has spent the past thousand years acting as the establishment’s CEO.Bound to the hotel by a deity who keeps her there to save her from going berserk and self-destruction with rage, hatred and thirst for revenge. Her only hope of escape is if she can let go of her resentment and hatred and find love. Trapped in her resentment for a betrayal, Man Wol is doomed to spend all of eternity running this odd establishment, catering to the needs of the most peculiar clientele. Things take an interesting turn when Goo Chan Sung shows up. Once the youngest assistant manager ever to work at a multinational hotel corporation, Chan Sung finds himself forced to manage the Hotel del Luna because of a deal his father made with Man Wol years ago. Excellent with managing money, he starts to put Jang's excessive spending and disastrous financial situation in order; that may be exactly what this odd establishment and its cursed CEO needs.(Source: Viki; edited by Drama Addict at MyDramaList)",314.0,10.0,8.5,7.0,8.2,6.3,7.7,61.0
Hot Stove League,2019.0,ffaea06bfdc44eec862e24a580c13d7f,['Jung Dong Yoon'],['Lee Shin Hwa'],16.0,3720.0,12/13/2019,2/14/2020,"Friday, Saturday",SBS,15+ - Teens 15 or older,"About the preparation period of a major league baseball team. The drama focuses on a loser team that prepares for an extraordinary season upon the arrival of their new general manager, and each episode will focus on a problem they have as they prepare to become a stronger team.Se Young is the youngest head of the management team of Dreams, a cellar-dwelling baseball team. She's highly recognized for her perseverance and intense passion for the team. One day, Seung Su is appointed as a general manager. Although he's been working in the sports field, the teams he led to the championship were unpopular, and some of them were even disbanded after winning the league due to the financial difficulties of their parent companies. Would this unlucky new general manager be able to steer Dreams to the championship with passionate Se Young?Han Jae Hee, an energetic man,  who is the grandson of a furniture maker. Kim Young Chae,  who is a softball player turned sports announcer. Yoo Min Ho, a pitcher, who is crazy about baseball.(Source: Viu, AsianWiki & Soompi)",254.0,542.0,8.1,9.2,9.6,8.4,9.2,15.0
I Have Three Boyfriends,2019.0,bdad52876d0d4791bf91b2fd821f249e,Others,Others,10.0,900.0,7/3/2019,8/3/2019,"Wednesday, Saturday",Naver TV Cast,Not Yet Rated,"The amnesia that came with the accident, and the three boyfriends that appeared in front of you. A triple romance story with three men. When I opened my eyes, I saw three boyfriends. ",7680.0,3062.0,6.9,8.5,8.3,7.6,8.6,3.0
I Wanna Hear Your Song,2019.0,45edc1b35b37412b90bcd5afff792b85,['Lee Jung Mi'],['Kim Min Joo'],32.0,2100.0,8/5/2019,9/24/2019,"Monday, Tuesday",KBS2,15+ - Teens 15 or older,"A murder takes place. Hong Yi Young, who is a timpanist, does not remember what happened on the day of the murder. She is simple-minded and suffers from insomnia. Hong Yi Young looks for a job. She happens to meet Jang Yoon. He is bad at singing but is a pianist in an orchestra. To help with Hong Yi Young's insomnia, Jang Yoon calls her every night. They try to find the truth about the murder.Meanwhile, Nam Joo Wan is an orchestra conductor. He has charisma and showmanship. Ha Eun Joo is a violinist in the orchestra. She is arrogant.(Source: AsianWiki)",5451.0,1125.0,7.8,7.0,8.2,5.5,7.3,3.0
IN-SEOUL,2019.0,a5986523247643c3a4c3ee691afe205d,['Im Ji Eun'],['Jung Soo Yoon'],15.0,900.0,7/29/2019,9/16/2019,"Monday, Tuesday",jTBC vLive,Not Yet Rated,"It is a growth drama that talks about the love-hate relationship between a mother and her high school daughter (in her last year), who are living just the two of them.The story is about the mother who constantly attacks her daughter about the fact that she has no sense of reality and her daughter who dreams of entering a university in Seoul to gain independence from such a mother.(Source: kpopmap.com) ",4493.0,3720.0,6.8,6.9,7.9,4.1,7.0,2.0
Home for Summer,2019.0,7c5468c2db414084ad0d4a22c555d3df,['Sung Joon Hae'],['Koo Ji Won'],128.0,1800.0,4/29/2019,10/25/2019,"Monday, Tuesday, Wednesday, Thursday, Friday",KBS1,15+ - Teens 15 or older,"Geum Hee has been married to Joon Ho for the past 10 years. She supported him while he was attempting to become a plastic surgeon. He is now a successful plastic surgeon. They are still happily married, but Joon Ho happens to meet divorcee Sang Mi. Sang Mi wants Joon Ho regardless if he is already married.Meanwhile, Sang Won is a chef and the younger brother of Sang Mi. Due to his painful memory of being dumped by the woman he loved, his personality seems to have become cold. He actually still has a warm heart.(Source: AsianWiki)",6581.0,5933.0,5.5,6.8,6.8,5.5,6.8,4.0
Hip Hop King: Nassna Street,2019.0,99facc7bc0e34d2a99b6d49047780952,['Lee Joon Hyeong'],Others,6.0,4200.0,8/9/2019,9/13/2019,Friday,SBS,15+ - Teens 15 or older,"A coming-of-age drama that will focus not only on hip hop music, but the evolving world and culture of hip hop itself.Young Baek is an 18-year-old high school student in Daegu. He lives with his poor grandmother. Young Baek loves hip hop music and wants to succeed as a rapper. To pursue his dream, Young Baek goes to Seoul. His life there is not easy, but he doesn't give up. He begins to attend Doobak High School. Young Baek meets Ha Jin at school. They develop feelings for each other. Ha Jin wants to become a writer. She has a secret that nobody knows about.Meanwhile, Tae Hwang and Ki Ha attend the same high school as Young Baek and Ha Jin. Tae Hwang is a rapper and has rich parents who are supportive of his career. He gets annoyed with Young Baek. Ki Ha becomes friends with Young Baek. He wants to find a girlfriend.(Source: AsianWiki)",44224.0,6354.0,10.0,8.0,8.0,1.0,6.0,0.0
Her Private Life,2019.0,3e9815c86a294162a3a037100b76c7de,['Hong Jong Chan'],['Kim Hye Young'],16.0,4500.0,4/10/2019,5/30/2019,"Wednesday, Thursday",tvN,15+ - Teens 15 or older,"A dedicated professional, Sung Deok Mi lives for her work as an art gallery curator. Devoting herself to her work, she is exceptional in every way, save one. Beneath that cool, professional facade, Deok Mi carries a dark secret. A secret she desperately wants to keep from the world. A secret that has driven lovers away. A secret that rules every moment of her personal life...Sung Deok Mi is the ultimate Cha Shi An fangirl. The devoted manager of a Shi An fansite, Deok Mi eats, breathes, and sleeps for Shi An. He is her sun, her moon. Her entire universe revolves around him. This is the secret Deok Mi must hide from the world. And hide it she does. At least until Ryan Gold, the art gallery’s new director, saunters into her life. A once famous painter, the former artist turned director considers himself an indifferent being, unconcerned with the lives of others. But when he uncovers Deok Mi’s secret, everything changes.(Source: Viki)~~ Adapted from the web novel “Noona Fan Dot Com” (누나팬닷컴) by Kim Sung Yeon (김성연).",808.0,27.0,9.2,8.9,9.8,8.8,9.1,37.0
He Is Psychometric,2019.0,1ccd5826f5214b538c662de72385d9fe,['Kim Byung Soo'],['Yang Jin Ah'],16.0,3840.0,3/11/2019,4/30/2019,"Monday, Tuesday",tvN,15+ - Teens 15 or older,"After losing his parents in a fire, Lee Ahn acquires the power of psychometry, the ability to read a person or an object's past through physical contact, and he decides to use it to take bad people down. While he does not know how to control his power yet, he meets Yoon Jae In who tries her best to hide her painful secrets. Together with his foster guardian, prosecutor Kang Seong Mo, and the latter's colleague, investigator Eun Ji Soo, they team up to solve an elusive case that has been haunting the lives of Ahn, Sung Mo, and Jae In. The case revolves around the life of prosecutor Kang's mother and father, who were the main cause of the fire. Jae In and Lee Ahn heal each other through their past present and future and find the culprit.(Source: Wikipedia)",883.0,68.0,8.0,8.3,9.2,6.1,8.2,21.0
Haechi,2019.0,f0631b3c7d694a288c29c1043f1dcf07,['Lee Yong Seok'],['Kim Yi Young'],48.0,1800.0,2/11/2019,4/30/2019,"Monday, Tuesday",SBS,15+ - Teens 15 or older,"Set during the Joseon Dynasty period, four people from different walks of life come together to make Prince Lee Geum the King and reform the Saheonbu. The four people are Lee Geum, Yeo Ji, Park Moon Soo, and Dal Moon.Lee Geum is a prince, but, even though he is smart, he is not recognized as a prince due to his mother being born in the lowest class.Yeo Ji is damo at the Saheonbu. She investigates cases enthusiastically. She has a talent for martial arts and foreign languages. Yeo Ji is the best investigator at the Saheonbu, including the male investigators. Park Moon Soo has been preparing for his exam to become a public officer. He is not very smart and has difficulty with the exam, but he is honest and tender to other people. Dal Moon is a famous clown. He is good at martial arts.",1765.0,1559.0,8.0,9.1,9.0,8.2,9.2,5.0
Gracious Revenge,2019.0,91a132b3b78945c4808163aaf40684fd,['Uh Soo Sun'],['Oh Sang Hee'],103.0,1980.0,11/4/2019,3/27/2020,"Monday, Tuesday, Wednesday, Thursday, Friday",KBS2,15+ - Teens 15 or older,"A story of a woman who was raised as a tool for her mother’s revenge and her dangerous love life will be introduced.Carrie Jung lost her husband and child. She now lives only take revenge on those responsible for their deaths. Carrie Jung raises Han Yoo Jin as a tool in her revenge plan. Han Yoo Jin is a smart and beautiful woman, but she falls in love with a man who she should not love.(Source: AsianWiki)",6348.0,7041.0,5.0,5.8,6.5,3.5,5.8,0.0
Graceful Family,2019.0,ce8c18be607b417fb61ae6845aabd413,['Han Cheol Soo'],"['Kwon Min Soo', 'Park Min Kyung']",16.0,4800.0,8/21/2019,10/17/2019,"Wednesday, Thursday",MBN,15+ - Teens 15 or older,"Mo Seok Hee is the sole daughter of the MC Group business empire. Financially, she wants for nothing. However, all is not well with her. She is haunted by the passing of her mother, who died in mysterious circumstances a decade and a half ago. Ever since her mother’s death, she has been living in the United States, apart from her father.But when she makes the fateful decision to return home to South Korea, her life is sent into a tailspin – along with the fortunes of the MC Group.Back in South Korea, she meets Heo Yoon Do, a lawyer from a humble background. Heo Yoon Do has been hired by the MC Group as a member of the TOP crisis management team that helps cover up misdemeanors committed by the Mo family.Together the duo builds an unlikely friendship and embarks on a quest to uncover the truth about the death of Mo Seok Hee’s mother. Will Mo Seok Hee and Heo Yoon Do uncover the dark truth behind a death that took place 15 years ago? What other secrets is the MG Group hiding? And could working together lead the duo to romance?(Source: Viki)",967.0,545.0,7.8,8.5,9.2,7.5,8.7,8.0
Golden Garden,2019.0,255c3b2a56a44a1cabff3cec3af9a873,"['Lee Dong Hyun', 'Lee Dae Young']",['Park Hyun Joo'],60.0,1560.0,7/20/2019,10/26/2019,Saturday,MBC,15+ - Teens 15 or older,"Eun Dong Joo attempts to get back her stolen life. When she was 6 years-old, she was abandoned at an orphanage. She did not remember anything except her name. Despite her difficult environment, she has grown into a woman with a positive and bright personality.Cha Pil Seung is a detective, who is good at his job. His parents died when he was young and he was then raised by his wealthy grandmother. Even though he is popular with women, he doesn't fall in love with anyone due to trauma from his parents' deaths.(Source: AsianWiki)",6357.0,4864.0,6.2,7.4,7.5,6.2,7.2,2.0
Issue Makers,2019.0,fe4cd6084df148b882786bde173568b1,Others,Others,10.0,900.0,8/16/2019,9/6/2019,Friday,SBS Plus,13+ - Teens 13 or older,"Eun Hye who used to be a recognized editor of one of the best magazines for women in Korea quit her job and set up a start-up named Issue Makers. Although it's been two years since its establishment, it hasn't accomplished much, and all it has is its website. But Eun Hye gets an opportunity of life to expand its market overseas. Things start to go hectic and frantic in Issue Makers' office as it is about to launch its first magazine in Vietnam. Check out how Eun Hye and other staff members deal with busywork, cherish friendship, lead a love life, and realize dreams.",56952.0,12108.0,5.0,7.0,8.0,4.0,6.0,0.0
Ghostderella,2019.0,538f79e3589c4f3c949ce4ad44fc32bd,Others,Others,4.0,600.0,2/14/2019,3/7/2019,Thursday,Others,Not Yet Rated,"“Ghostderella” is a supernatural romance about Min Ah, a girl who confined herself to her room after gaining the ability to see ghosts when she was 18 years old, and the chaotic events that occur as a strange male ghost begins to follow her. The web drama format, which is popular among teenagers, will add fantasy materials and differentiate itself from previous dramas. It is also expected to comfort those who are feeling lonely and portray the reality of people in their 20s. (Source: soompi)",8365.0,4366.0,7.0,7.0,8.5,6.5,7.2,3.0
Ghost VRos,2019.0,334c6ebf0ccd430984fe7ebce6203a4e,Others,Others,8.0,600.0,12/16/2019,1/2/2020,"Monday, Wednesday",tvN,Not Yet Rated,Ghost Vros tells the story of a startup company that exorcises ghosts with VR equipment. Ghost Vros employees will look for ghosts with VR equipment and help vengeful ghosts through counseling. ,44832.0,8462.0,9.5,9.5,9.5,8.5,9.5,3.0
Genome’s Romance,2019.0,5e6333b93a9f4b6bb2d924e3a47d5dee,Others,['Bang Bong Won'],8.0,900.0,12/20/2019,1/22/2020,"Friday, Saturday",Kocowa,13+ - Teens 13 or older,"Socrates said that a kiss is the greatest thief that steals one's heart. However, for Heung Mi it's different. She hears the sound of an ambulance instead of a heavenly bell whenever she kisses someone due to anaphylactic reactions. Meanwhile, Wan Jeon has a genetic disease that can only be treated through this most peculiar woman. The two of them agree on dating under certain conditions for the sake of treating each other's illnesses. Watch their romantic adventure unfold!(Source: HanCinema)",56050.0,13028.0,8.0,8.5,8.5,7.2,8.0,1.0
Freshman,2019.0,606ce9b3ea4f4ad1ae2a89bee49fcc10,Others,['Lee Ye Dam'],12.0,300.0,3/23/2019,4/28/2019,"Saturday, Sunday",Naver TV Cast vLive,G - All Ages,It depicts the challenge of outsiders of a college to become insider. ,6819.0,4229.0,7.0,7.3,9.7,8.8,8.2,4.0
It's Okay to Be Sensitive Season 2,2019.0,a9a47f9172954501b22049fe99bb30ec,Others,['Choi Sun Mi'],10.0,840.0,2/1/2019,3/5/2019,"Tuesday, Friday",Naver TV Cast vLive,Not Yet Rated,The story revolves around 3 new interns in the Sengse Group's marketing department and the challenges they face related to gender discrimination both in and out of the office. This is the second season of a web series that brings awareness to gender issues. ,2295.0,3908.0,8.0,8.7,8.7,4.3,8.5,4.0
Flower Crew: Joseon Marriage Agency,2019.0,31d17ca0c8e34bffa4daabfe889002e6,['Kim Ga Ram'],['Kim Yi Rang'],16.0,4200.0,9/16/2019,11/5/2019,"Monday, Tuesday",jTBC Viki,15+ - Teens 15 or older,"Growing up an ordinary country blacksmith, Lee Soo had no idea he would ever rule all of Joseon; but, at the age of twenty-three, that’s exactly what happened. Now as king, Lee Soo is finding it hard to adapt to the restrictions of palace life, especially where matters of the heart are concerned. Having loved Gae Ddong for as long as he can remember, he always thought she would be the one he would someday marry; but now, as king, that dream has become nothing short of impossible. As a commoner, Lee Soo has no chance of making Gae Ddong his bride but that doesn’t stop him from trying. Hiring the best matchmaking agency in Joseon, Lee Soo asks the talented Flower Crew to transform his first love into a noblewoman. Accepting the king’s request, Ma Hoon, Do Joon and Go Young Soo take Gae Ddong into their care. There’s just one problem, transformations like this aren’t easy and there’s a lot of work to do! Risking their lives to help the king, can the Flower Crew help Gae Ddong blossom into a beautiful noble flower or will this job prove to be impossible?(Source: Viki)~~ Adapted from the novel ""Flower Crew: Joseon Marriage Agency"" (조선혼담공작소 꽃파당) by Kim Yi Rang (김이랑).",3188.0,785.0,7.5,8.2,8.8,6.9,8.0,8.0
"Fight Hard, Love Harder",2019.0,2c5c970a4fa74b14afab2511b1cf76fc,Others,Others,4.0,600.0,3/14/2019,4/4/2019,Others,Naver TV Cast,Not Yet Rated,"Stories about a young girl, Jin Joo, who is trying to find her perfect boyfriend, but all her relationships end the same way, quarrels and partings. These several stories will be told by two persons, the girl herself and her boyfriends, and how they see the same situation in different ways. Will Jin Joo be able to sort out his relationship? ",6513.0,8753.0,6.2,6.8,8.8,6.5,6.8,2.0
Farming Academy,2019.0,5ad42d1e87224cb3a011f1a343f94b2e,Others,Others,4.0,3000.0,3/31/2019,4/7/2019,Sunday,SBS,15+ - Teens 15 or older,"Drama series depicts the dreams, passions and friendships of young people who dream of becoming farmers.Ha Joo Seok is in the 1st grade at a farming academy. He uses blunt language, but he is considerate of other people. Shin Yoo Jin is in the 1st grade at the same farming academy. She is smart and good at data analysis. Since she was little, she dreamed of becoming a farmer.(Source: AsianWiki) ",51289.0,7808.0,5.0,6.0,7.0,5.0,6.0,0.0
Item,2019.0,102cc098e24744839bfc1c996b5d97e1,['Kim Sung Wook'],['Jung Yi Do'],32.0,2100.0,2/11/2019,4/2/2019,"Monday, Tuesday",MBC,15+ - Teens 15 or older,"A profiler and a prosecutor must uncover the hidden secrets surrounding unique items with supernatural powers and a conspiracy. Kang Gon is a prosecutor full of justice and a warm heart. In order to save his niece Da In, he jumps into a conspiracy surrounding an item having supernatural powers. Kang Gon works with a criminal profiler Shin So Yeong.(Source: Asianwiki)~~ Adapted from the webtoon written by Min Hyung and illustrated by Kim Joon Suk.",6248.0,1692.0,5.2,5.8,6.9,3.9,5.8,4.0
Failing in Love,2019.0,e2766b376fb64aceb165d993b907407c,Others,['Lee Na Eun'],10.0,1500.0,10/28/2019,11/26/2019,"Monday, Tuesday",MBC vLive,15+ - Teens 15 or older,"Suffering from a separation anxiety disorder, Kang Pa Rang confesses his love for someone different every week. Lee Shi Won, Pa Rang's headstrong best friend, has stopped Pa Rang from dating anyone for the past 10 years. After getting rejected by girls time after time, Pa Rang confesses his love for Shi Won, his friend of 10 years, but gets rejected. There is a reason there are weird rumors about Shi Eon, the psychopath that is socially awkward but was elected class president for 10 consecutive years. He hides his true feelings behind his cold comments, but there is something in the way he looks at his decade-old friend Shi Won. At 18 years old, they have faced many hardships, challenges, and confessions, but it often fails. It’s an awkward age. Will they be able to find love instead of just having it end as an attempt?(Source: MBC)",5308.0,1425.0,8.5,8.1,8.8,7.1,8.0,7.0
Extraordinary You,2019.0,8dfb17ba9eaf4ca2b1bab6e61166d3e2,"['Kim Sang Hyub', 'Kim Sang Woo']","['In Ji Hye', 'Song Ha Young']",32.0,2100.0,10/2/2019,11/21/2019,"Wednesday, Thursday",MBC,13+ - Teens 13 or older,"What would you do if you found out that you were, in fact, a character in a comic? And an extra character on top of that? Change the course of the story, obviously!Eun Dan Oh is a 17-year-old high-school student from a wealthy family who suffers from a lifelong heart condition that inevitably means she will not live past her teenage years. However, when Dan Oh realizes she is experiencing long gaps in her memory as well, she comes into the unhappy realization of another fact in her life: she is a character in a Korean webtoon and all of her actions are predetermined by the artist who draws her. To make matters worse, she discovers she is only a supporting character in the cast. With her newfound understanding of the world she inhabits, she is determined to find true love in her own plot-line and circumvent the author’s plans for her character by utilizing the flashes of storyboard she alone is able to see.(Source: onehallyu)~~ Adapted from the webtoon ""July Found by Chance” (어쩌다 발견한 7월) by Moo Ryoo (무류).~~ Two versions available: 32 episodes (TV) || 16 episodes (online)",750.0,30.0,7.8,7.0,8.5,5.4,7.5,63.0
Jal Pa Gin Love,2019.0,d8b851aef1ca409f9bdd4644a423de13,Others,Others,3.0,600.0,7/16/2019,7/18/2019,"Tuesday, Wednesday, Thursday",Naver TV Cast tvN,Not Yet Rated,"Ran Ho is the sweet and thoughtful best friend to Roxanne, and has been in love with her since they first met 5 years ago. When a new co-worker joins their company, Roxanne falls in love at first sight and confides in Ran Ho. Ran Ho being the nice guy he is, plays the matchmaker between the two, because he wants to see her happy - even if it means he might not be part of it. ",56508.0,12888.0,6.5,4.2,7.0,1.0,5.2,2.0
Everybody Say Kungdari,2019.0,5f6033158f794e48b3f774e2691e758b,"['Kim Heung Dong', 'Kim Chil Bong']",['Kim Ji Hyun'],99.0,2400.0,7/15/2019,11/29/2019,"Monday, Tuesday, Wednesday, Thursday, Friday",MBC,15+ - Teens 15 or older,"Bo Mi is a Korean adoptee in the United States. She lives in New York and enjoys her life there, but she gets involved in an unexpected case. Bo Mi doesn't have a U.S. citizenship and she is kicked out of the country. She returns to her hometown village of Kungdari, South Korea. There, Bo Mi meets Soo Ho. Soo Ho used to work in finance in the United States. He was successful there, but to develop a natural remedy for his ill daughter, Soo Ho settled down in Kungdari.(Source: AsianWiki)",58800.0,15089.0,8.0,8.5,10.0,5.0,8.5,5.0
Loss Time Life,2019.0,9ce55b86118848bf92158806501ecfb2,Others,Others,2.0,2700.0,2/13/2019,2/14/2019,"Wednesday, Thursday",Others,15+ - Teens 15 or older,"So Jin was Yoo Geon's childhood friend and first love. They meet again as she becomes one of his teachers in high school. After he suddenly dies, Yoo Geon is given a second chance in the form of thirty hours during which he finds the meaning of love.(Source: Wikipedia) ",55809.0,8748.0,5.5,7.5,6.0,6.0,6.5,1.0
Kiss Scene in Yeonnamdong,2019.0,0f73462427ee45d8991f763de47bd61c,Others,Others,12.0,840.0,11/29/2019,2/14/2020,Friday,Others,15+ - Teens 15 or older,"The concept of ""Kiss Scene in Yeonnam-dong"" is 'who kissed her that night?' and it's about a young woman who has been single all her life looking for the most handsome kisser. She has been single all her life, but she's not all that innocent in this honest romantic story of young people.(Source: HanCinema) ",2513.0,2709.0,7.1,7.6,8.4,5.7,7.6,2.0
Melting Me Softly,2019.0,44b45e747fe44fbdae3893f57565c3fb,['Shin Woo Cheol'],['Baek Mi Kyung'],16.0,3900.0,9/28/2019,11/17/2019,"Saturday, Sunday",tvN,15+ - Teens 15 or older,"This drama tells the story of a man and a woman who are both frozen during an experiment. They wake up 20 years later instead of 24 hours later and must keep their body temperature below 33°C in order to survive.Ma Dong Chan  is known in the entertainment world as a “hit maker.” A very successful producer of variety programs when every project he attaches himself to turns into a ratings juggernaut, Dong Chan is considered “a manly specimen of manhood, with perfect physical and handsome features who is coldly cool in work and hot in love.” The broadcast station where PD Ma’s productions are filmed also employs part-timer Go Mi Ran, who finds herself in a bind with debt collectors harassing her family for repayment of her family’s debts.Mi Ran eventually becomes involved with PD Ma’s new variety program entitled “24-Hour Frozen Human Project,” which revolves around an experiment where a man and woman are randomly chosen to be “frozen human specimens” and scheduled to be brought back within 24 hours of their entering the freezing chambers. In order to pay off her family debts, Mi Ran accepts an offer of 5 million won (approx. $4,200 USD) in exchange for being frozen for 24 hours. Due to a mysterious conspiracy, instead of being frozen for 24 hours, they remain frozen for 20 years. Their thawing 20 years later bring up personal difficulties that were in place before entering the freezing chamber that they must resolve before resuming their normal lives.(Source: koreandrama.org)",4468.0,142.0,6.5,4.5,6.8,3.6,5.2,27.0
Love as You Taste,2019.0,6d8bbf6c7ffe495a96d8403f7ba0781f,Others,['Hwang Da Seul'],10.0,840.0,2/2/2019,4/3/2019,Others,Naver TV Cast,13+ - Teens 13 or older,Love and food - always the perfect match! A collection of love stories and heartbreaks paired with each person’s favourite food cravings as they all fall in and out of love. Vivacious university students start a club “Cooking Club for Better Taste” to tell their stories about love and relationships all while sharing their favourite food and dishes. Will they be ready for the main dish called life?(Source: Viki) ,6562.0,5182.0,5.5,5.0,8.0,4.0,4.5,8.0
Bad Love,2019.0,c5aaf1fa08a34aaf92b9f0cca159970d,['Kim Mi Sook'],['Hong Seung Hee'],129.0,1800.0,12/2/2019,5/29/2020,"Monday, Tuesday, Wednesday, Thursday, Friday",MBC,15+ - Teens 15 or older,"An accident has changed five men and women’s fates. Unlike conventional love stories with lovely memories and anecdotes, their love is judged and frowned upon. Despite the criticisms on them, they can’t stop themselves from desperately loving each other. Bad Love is a sad love drama that portrays true love that hurts.(Source: Viu) ",52842.0,9463.0,5.2,7.0,7.8,5.2,7.0,3.0
Afraid Of,2019.0,bd4e6c7fe4fa480ab5931c2db33ac5d9,Others,Others,3.0,420.0,12/15/2019,1/1/2020,Monday,Others,Not Yet Rated,Hyun Ah is a closeted lesbian who hides her feelings until she starts questioning it when a cute girl from her class she develops a crush on gives her her number.(Source: MyDramaList) ,5579.0,6507.0,7.2,8.2,7.3,5.5,8.3,3.0
Big Issue,2019.0,2dd1be751b5c4e599998ba09e9deab3a,"['Park Soo Jin', 'Lee Dong Hun']",['Jang Hyuk Rin'],32.0,2100.0,3/6/2019,5/2/2019,"Wednesday, Thursday",SBS,15+ - Teens 15 or older,"Set within the frenzy world of the paparazzi media. Due to a photograph, Han Seok Joo loses everything, including his job as a photographer for a top newspaper and his family. Ji Soo Hyun is the notorious chief editor of a paparazzi group. She hires the man to become a paparazzi photographer.(Source: AsianWiki) ",2592.0,2601.0,7.8,7.6,8.4,5.7,7.3,3.0
Arthdal Chronicles Part 1: The Children of Prophecy,2019.0,a6a7d5e4f7784c38a4b459a3708ec4dd,['Kim Won Suk'],"['Kim Young Hyun', 'Park Sang Yeon']",6.0,4800.0,6/1/2019,6/16/2019,"Saturday, Sunday",Netflix tvN,15+ - Teens 15 or older,"Set in the fictional land of Arthdal during ancient times(bronze age). Eun Seom was born with a fate to bring disaster to Arthdal, which leads him and his mother, who wants to save him, to endure hardships. Finally, they decide to leave and travel together to a better place. Although Eun Seom grows up in the new land, he is seen as an outcast because he is different from the land's natives. Ta Gon is a war hero of Arthdal. He has paved the way for Arthdal to become a prosperous city and nation, and he is the strongest warrior in Arthdal. He dreams of becoming the first king of Arthdal.Tan Ya was born with the same fate as Eun Seom. She is the next great mother of the Wahan Tribe. But she has difficulty mastering the dance of the great mother and hasn't had a single dream since the Eun Seom appeared in their village. Taealha is the daughter of the head of the Hae tribe. She has greater ambitions.(Source: AsianWiki)",466.0,315.0,8.4,8.5,9.5,7.5,8.5,15.0
Best Mistake,2019.0,3388b219ee754a6d88a0312af998b960,['Lee Yoo Yeon'],['Yoon Shi So'],15.0,480.0,7/25/2019,9/12/2019,"Tuesday, Thursday",vLive,13+ - Teens 13 or older,"To get a boy from her past to leave her alone, Kim Yeon Do uploads a photo of a random guy claiming him to be her boyfriend. However, she does not realize the photo she chose was of bad boy student Ji Hyun Ho. When she ends up spending more time with him to make it up, she realizes that people have a lot more to them than what she sees.(Source: MyDramaList)~~ Adapted from a mobile dating simulation game ""Best Mistake"" (일진에게 찍혔을 때) by Day7 (데이세븐).",3734.0,923.0,7.7,7.4,7.3,6.6,7.2,3.0
Love Playlist Season 4,2019.0,0633e89187ca48afb71bfaed84a4fe36,['Yoo Hee Woon'],"['Lee Seul', 'Choi Yo Ji']",16.0,1200.0,6/19/2019,8/10/2019,"Wednesday, Saturday",Naver TV Cast vLive,15+ - Teens 15 or older,"The fourth season will show stories that everyone has experienced not only of love, but also enlistment, job hunting, and new human relationships.",1067.0,2157.0,9.1,8.7,9.0,7.4,8.7,1.0
